lambda_micron,f_nu_mJy_z0.05_m10.0,f_nu_mJy_z0.05_m10.5,f_nu_mJy_z0.05_m11.0,f_nu_mJy_z0.1_m10.0,f_nu_mJy_z0.1_m10.5,f_nu_mJy_z0.1_m11.0,f_nu_mJy_z0.15_m10.0,f_nu_mJy_z0.15_m10.5,f_nu_mJy_z0.15_m11.0,f_nu_mJy_z0.2_m10.0,f_nu_mJy_z0.2_m10.5,f_nu_mJy_z0.2_m11.0
1.1371371371371373,1.6189463955351169,5.662559274353013,13.33628281067751,0.4990830288621255,1.374513990367664,3.2667462293818597,0.36483932106180483,0.5975405462428174,1.1876245378977466,0.35721005319222354,0.4917065185554924,0.6278189389791573
1.1413913913913913,1.6176232342863528,5.658787584945096,13.340441628310352,0.4992288129054605,1.3788381261057563,3.274944873347266,0.36894485036945013,0.6004869932891215,1.1960284737834805,0.3604976988014855,0.4861543385481796,0.6271587671910959
1.1456456456456456,1.6175567878536588,5.640023193036554,13.336790385645955,0.498857668295813,1.3837934103001972,3.2833357019707536,0.37014249765985935,0.6056319470610695,1.2102173063359078,0.36627626532899027,0.4750907065765619,0.6246604455454219
1.1498998998999,1.6223103541331096,5.623401826562811,13.32516597035645,0.49890281473696313,1.3872470185840875,3.291726530594242,0.3683974019386696,0.6067465739621136,1.2158105867791298,0.36594470852866656,0.4970052147560917,0.6399900418859934
1.1541541541541542,1.626669082851312,5.597834706881921,13.310770595968332,0.4996698392047543,1.3876858157064638,3.3013821929624134,0.3667381320399475,0.6030857047958957,1.217906980991843,0.3661217161601239,0.5008925016077235,0.6430317963000027
1.1584084084084085,1.6303294108400868,5.60284572473821,13.296375221580217,0.5003719113032542,1.3842643031072646,3.2994157860597633,0.3651558336295941,0.6029642594241083,1.2226047359213554,0.36652706851266914,0.5012939922500709,0.6399391159335074
1.1626626626626626,1.6339897388288613,5.6078567425945,13.281979847192101,0.501073983401754,1.3792738841753671,3.2961615855944206,0.3671275754700772,0.6080417791622322,1.2282852020625663,0.3671312516847872,0.5049681060650308,0.6481617575204178
1.166916916916917,1.6380320929137202,5.619049973909542,13.284657840327924,0.5012846518829325,1.3772050974608034,3.2928600462587747,0.36794998862901135,0.6088518846026112,1.232505708417115,0.3707055971409682,0.5007378729351913,0.6413513191777831
1.1711711711711712,1.6413255621389828,5.694718567631488,13.30507239612691,0.5016971266610187,1.3815707754194135,3.299815853957125,0.36801310046280356,0.610766356789489,1.2384200748602345,0.3712083582516641,0.504452350257153,0.6430971823558329
1.1754254254254255,1.644619031364246,5.772373542146662,13.342257278995472,0.5021373949150199,1.3846797238467947,3.309914294555635,0.3695284297926511,0.6137435118587649,1.2443344413033541,0.3743755849985287,0.5058254490740292,0.6466884459581266
1.1796796796796798,1.647819500220177,5.834896753603152,13.379442161864032,0.5022754267854543,1.3865488419170422,3.317411231502672,0.3715653030789696,0.6159694738222345,1.251729646985273,0.3757084080473206,0.5125514224108388,0.6565554865962449
1.1839339339339339,1.6492581431150803,5.83041653091789,13.416627044732591,0.5016506033410277,1.3867658834259484,3.317944620305685,0.37284303613677106,0.6169684828278524,1.2542609884952565,0.3761063778839376,0.5088136623397137,0.6595118927608337
1.1881881881881882,1.6506967860099835,5.816422205768021,13.459446120578413,0.5008955675826945,1.3869829249348542,3.316024710403335,0.37380981184588535,0.6183663962589555,1.259081915426047,0.37499561129487125,0.5116678751734928,0.6578720097183617
1.1924424424424425,1.654327861357457,5.782021036638663,13.510193896311039,0.5001405318243611,1.387205785241224,3.312934809202156,0.3732381141555472,0.6197590816967176,1.2638395397052198,0.3744104202781514,0.5175434081935322,0.6643757434795095
